#SHEETINFO | name=Length and mass units,,,
,,"Relationships between length units:
1 cm = 10 mm
1 dm = 10 cm = 100 mm
1 m = 10 dm = 100 cm = 1000 mm
1 km = 1 000 m = 10 000 dm = 100 000 cm = 1 000 000 mm",
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q16&""""",24 m = 24 × 10 = 240 dm,=$D$6,"~#place-after-tech-cols#~=""Express in dm (decimeters):
* 24 m"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q17&""""",79 km = 79 × 10 000 = 790 000 dm,=$D$6,"~#place-after-tech-cols#~=""Express in dm (decimeters):
* 79 km"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q18&""""",7000 mm = 7000 ÷ 1000 = 7 m,=$D$6,"~#place-after-tech-cols#~=""Express in m (meters):
* 7 000 mm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q19&""""",5000 cm = 5000 ÷ 100 = 50 m,=$D$6,"~#place-after-tech-cols#~=""Express in m (meters):
* 5 000 cm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q20&""""",80 dm = 80 ÷ 10 = 8 m,=$D$6,"~#place-after-tech-cols#~=""Express in m (meters):
* 80 dm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q21&""""",210 dm = 210 ÷ 10 = 21 m,=$D$6,"~#place-after-tech-cols#~=""Express in m (meters):
* 210 dm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q22&""""",7 km = 7 × 1000 = 7000 m,=$D$6,"~#place-after-tech-cols#~=""Express in m (meters):
* 7 km"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q23&""""",15 km = 15 × 1000 = 15000 m,=$D$6,"~#place-after-tech-cols#~=""Express in m (meters):
* 15 km"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q24&""""",48 000 000 mm = 48 000 000 ÷ 1 000 000 = 48 km,=$D$6,"~#place-after-tech-cols#~=""Express in km (kilometers):
* 48 000 000 mm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q25&""""",1 800 000 cm = 1 800 000 ÷ 100 000 = 18 km,=$D$6,"~#place-after-tech-cols#~=""Express in km (kilometers):
* 1 800 000 cm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q26&""""",540 000 dm = 540 000 ÷ 10 000 = 54 km,=$D$6,"~#place-after-tech-cols#~=""Express in km (kilometers):
* 540 000 dm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q27&""""",6 000 m = 6000 ÷ 1000 = 6 km,=$D$6,"~#place-after-tech-cols#~=""Express in km (kilometers):
* 6 000 m"""
,,,
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q29&""""","4 m = 4 × 100 = 400 cm
:400 cm + 40 cm = 440 cm",=$D$7,"~#place-after-tech-cols#~=""Express in cm (centimeters):
* 4 m 40 cm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q30&""""","13 m = 13 × 100 = 1300 cm
:1300 cm + 13 cm = 1313 cm",=$D$7,"~#place-after-tech-cols#~=""Express in cm (centimeters):
* 13 m 13 cm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q31&""""","7 dm = 7 × 10 = 70 cm
:70 cm + 5 cm = 75 cm",=$D$7,"~#place-after-tech-cols#~=""Express in cm (centimeters):
* 7 dm 5 cm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q32&""""","13 dm = 13 × 10 = 130 cm
:130 cm + 1 cm = 131 cm",=$D$7,"~#place-after-tech-cols#~=""Express in cm (centimeters):
* 13 dm 1 cm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q33&""""","1 km = 1 × 1 000 = 1 000 m
:1 000 m + 300 m = 1 300 m",=$D$7,"~#place-after-tech-cols#~=""Express in m (meters):
* 1 km 300 m"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q34&""""","8 km = 8 × 1 000 = 8 000 m
350 dm = 350 ÷ 10 = 35 m
:8 000 m + 35 m = 8 035 m",=$D$7,"~#place-after-tech-cols#~=""Express in m (meters):
* 8 km 350 dm"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q35&""""","10 km = 10 × 1000 = 10 000 m
:10 000 m + 10 m = 10 010 m",=$D$7,"~#place-after-tech-cols#~=""Express in m (meters):
* 10 km 10 m"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$4&""
----
""&Q36&""""","14 km = 14 × 1000 = 14 000 m
:14 000 m + 147 m = 14 147 m",=$D$7,"~#place-after-tech-cols#~=""Express in m (meters):
* 14 km 147 m"""
,,,
Mass units,,,
"Converting mass units:

1 t = 🌀 kg
1 kg = ❇️ dag
1 dag = 🔆 g","1 t = 1000 kg
1 kg = 100 dag
1 dag = 10 g",,
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q40&""""",4 dag = 4 × 10 = 40 g,=$D$6,"~#place-after-tech-cols#~=""Express in g (grams):
* 4 dag"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q41&""""",13 dag = 13 × 10 = 130 g,=$D$6,"~#place-after-tech-cols#~=""Express in g (grams):
* 13 dag"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q42&""""",8 kg = 8 × 100 = 800 dag,=$D$6,"~#place-after-tech-cols#~=""Express in dag (decagrams):
* 8 kg"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q43&""""",100 g = 100 ÷ 10 = 10 dag,=$D$6,"~#place-after-tech-cols#~=""Express in dag (decagrams):
* 100 g"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q44&""""",30 g = 30 ÷ 10 = 3 dag,=$D$6,"~#place-after-tech-cols#~=""Express in dag (decagrams):
* 30 g"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q45&""""",5 kg = 5 × 1000 = 5000 g,=$D$6,"~#place-after-tech-cols#~=""Express in g (grams):
* 5 kg"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q46&""""",87 kg = 87 × 1000 = 87 000 g,=$D$6,"~#place-after-tech-cols#~=""Express in g (grams):
* 87 kg"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q47&""""",1 t = 1 × 1 000 000 = 1 000 000 g,=$D$6,"~#place-after-tech-cols#~=""Express in g (grams):
* 1 t"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q48&""""",5 t = 5 × 1 000 000 = 5 000 000 g,=$D$6,"~#place-after-tech-cols#~=""Express in g (grams):
* 5 t"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q49&""""",6 000 g = 6 000 ÷ 1 000 = 6 kg,=$D$6,"~#place-after-tech-cols#~=""Express in kg (kilograms):
* 6 000 g"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q50&""""",15 kg = 15 × 100 = 1500 dag,=$D$6,"~#place-after-tech-cols#~=""Express in dag (decagrams):
* 15 kg"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q51&""""",3 t = 3 × 100 000  = 300 000 dag,=$D$6,"~#place-after-tech-cols#~=""Express in dag (decagrams):
* 3 t"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q52&""""",200 t = 200 × 100 000 = 20 000 000 dag,=$D$6,"~#place-after-tech-cols#~=""Express in dag (decagrams):
* 200 t"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q53&""""",50 000 g = 50 000 ÷ 1 000 = 50 kg,=$D$6,"~#place-after-tech-cols#~=""Express in kg (kilograms):
* 50 000 g"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q54&""""",400 dag = 400 ÷ 100 = 4 kg,=$D$6,"~#place-after-tech-cols#~=""Express in kg (kilograms):
* 400 dag"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q55&""""",1 400 dag = 1 400 ÷ 100 = 14 kg,=$D$6,"~#place-after-tech-cols#~=""Express in kg (kilograms):
* 1 400 dag"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q56&""""",2 t = 2 × 1 000 = 2 000 kg,=$D$6,"~#place-after-tech-cols#~=""Express in kg (kilograms):
* 2 t"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q57&""""",300 t = 300 × 1 000 = 300 000 kg,=$D$6,"~#place-after-tech-cols#~=""Express in kg (kilograms):
* 300 t"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q58&""""",7 000 kg = 7 000 ÷ 1000 = 7 t,=$D$6,"~#place-after-tech-cols#~=""Express in t (tonnes):
* 7 000 kg"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q59&""""",83 000 kg = 83 000 ÷ 1000 = 83 t,=$D$6,"~#place-after-tech-cols#~=""Express in t (tonnes):
* 83 000 kg"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q60&""""",25 000 000 g = 25 000 000 ÷ 1 000 000 = 25 t,=$D$6,"~#place-after-tech-cols#~=""Express in t (tonnes):
* 25 000 000 g"""
"=""Read the hints, then express the given quantities in the indicated unit.""
&Char(10)&Char(10)&$D$5&""
----
""&Q61&""""",4 800 000 dag = 4 800 000 ÷ 100 000 = 48 t,=$D$6,"~#place-after-tech-cols#~=""Express in t (tonnes):
* 4 800 000 dag"""
