#SHEETINFO | name=Polygons,,,,
What are the characteristics of an equilateral triangle?,All its sides are equal in length and all its interior angles have the same measure.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Equilateral_Triangle.svg/2560px-Equilateral_Triangle.svg.png
Are the base angles in an isosceles triangle equal?,Yes.,,,https://upload.wikimedia.org/wikipedia/commons/1/14/Triangle.Isosceles.svg
What is the measure of each interior angle in an equilateral triangle?,60°,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Equilateral_Triangle.svg/2560px-Equilateral_Triangle.svg.png
,,,,
What do we call a triangle where all interior angles are acute?,An acute triangle.,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Triangle.Acute.svg
What are the characteristics of an acute triangle?,All of its interior angles are acute (less than 90°).,,,https://upload.wikimedia.org/wikipedia/commons/e/ed/Triangle.Acute.svg
What do we call a triangle in which one of the angles is a right angle?,A right triangle.,,,https://upload.wikimedia.org/wikipedia/commons/7/72/Triangle.Right.svg
What are the characteristics of a right triangle?,One of its interior angles is a right angle (90°).,,,https://upload.wikimedia.org/wikipedia/commons/7/72/Triangle.Right.svg
What do we call the sides forming the right angle in a right triangle?,Legs.,,,https://upload.wikimedia.org/wikipedia/commons/7/72/Triangle.Right.svg
What do we call the side opposite the right angle in a right triangle?,The hypotenuse.,,,https://upload.wikimedia.org/wikipedia/commons/7/72/Triangle.Right.svg
What do we call a triangle that has one obtuse interior angle?,An obtuse triangle.,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Triangle.Obtuse.svg
What are the characteristics of an obtuse triangle?,One of its interior angles is obtuse (greater than 90°).,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Triangle.Obtuse.svg
Can a triangle have two right angles?,"No, it can only have one right angle.",,,
Can a triangle have two obtuse angles?,"No, it can only have one obtuse angle.",,,
"A triangle has angles measuring 40°, 60°, and 80°. What type of triangle is it based on its angles?",An acute triangle,,,
"A triangle has angles measuring 30°, 120°, and 30°. What type of triangle is it?",An obtuse triangle,,,
Is every equilateral triangle an acute triangle?,"Yes, because all of its angles are 60°.",,,
,,,,
Describe what vertical angles are.,They are a pair of non-adjacent angles with equal measures formed by two intersecting lines.,,,
Describe what a linear pair of angles is.,"They are adjacent angles whose non-common sides form a straight line, summing to 180°.",α + β = 180°,,
Describe what corresponding angles are.,They are a pair of angles in the same relative position at each intersection where a straight line (transversal) crosses two others.,"If the two lines are parallel, then the corresponding angles are equal.

If the lines are not parallel, the corresponding angles have different measures.",,
Describe what alternate interior angles are.,They are a pair of angles on opposite sides of the transversal and between the two lines.,"If the two lines are parallel, then the alternate angles are equal.
If the lines are not parallel, the alternate angles have different measures.",,
,,,,
What condition must the lengths of three segments meet to form a triangle?,The sum of the lengths of the two shorter segments must be greater than the length of the longest segment.,,,
"Does a triangle with sides 4 cm, 9 cm, and 4 cm exist?",No (because 4 + 4 < 9),,,
"Can a triangle be built from segments of lengths 2 cm, 6 cm, and 3 cm?","No, because 2 + 3 < 6",,,
"Can a triangle be built from segments of lengths 3 cm, 4 cm, and 5 cm?","Yes, because 3 + 4 > 5",,,
"We have segments of 5 cm, 5 cm, and 10 cm. Will they form an isosceles triangle?","No, because 5 + 5 is not greater than 10",,,
"Can you build a triangle with segments: 1 m, 2 m, and 3 m?","No, because 1 + 2 = 3 (the sum must be strictly greater)",,,
,,,,
What is the sum of the angles adjacent to the same leg in any trapezoid?,180°,,,
What are the properties of an isosceles trapezoid?,It has equal legs and equal angles at each base.,,,
What condition must a trapezoid meet to be a right trapezoid?,It must have at least one right angle (in practice it has two at one leg).,,,
What do we call a quadrilateral that has two pairs of parallel sides?,A parallelogram.,,,
,,,,
Two angles in a triangle measure 50° and 70°. What is the measure of the third angle?,60°,,,
What is the measure of an interior angle in a square or a rectangle?,90°,,,
In a parallelogram, an acute angle measures 60°. What is the measure of the adjacent obtuse angle?,120°,,
One of the acute angles in a right triangle is 20°. What is the measure of the other acute angle?,70°,,,
In an isosceles triangle, the angle between the legs is 100°. What are the measures of the base angles?,40° each,,
In an isosceles triangle, one of the base angles is 55°. What is the measure of the angle between the legs?,70°,,
In a parallelogram, an acute angle is 50°. What is the measure of the obtuse angle on the same side?,130°,,
An obtuse angle of a rhombus is 140°. What is the measure of the acute angle of this rhombus?,40°,,,
In an isosceles trapezoid, the angle at the lower base is 75°. What is the measure of the angle at the upper base?,105°,,
In a right trapezoid, the obtuse angle is 110°. What is the measure of the acute angle in this trapezoid?,70°,,
The sum of three angles in a certain quadrilateral is 260°. What is the measure of the fourth angle?,100°,,,
An isosceles right triangle has one 90° angle. What are the measures of the other two angles?,45° each,,,
In a parallelogram, the sum of two acute angles is 80°. What is the measure of one obtuse angle?,140°,,
One of the angles adjacent to the leg of a trapezoid is 60°. What is the sum of both angles at that leg?,180°,,,
,,,,
"In a parallelogram, one side is 5 cm longer than the other, and its perimeter is 38 cm. Calculate the lengths of the sides of this parallelogram",7 cm and 12 cm,"Given: 
* perimeter = 38 cm
* difference between sides = 5 cm
Solution:
2a + 2b = 38, so a + b = 19
b = a + 5
a + (a + 5) = 19 → 2a = 14 → a = 7 cm, b = 12 cm

Answer: 7 cm and 12 cm",,
"The perimeter of a parallelogram is 64 cm, and one of its sides is 3 times shorter than the other. Find the lengths of the adjacent sides of this parallelogram",8 cm and 24 cm,"Given: 
* perimeter = 64 cm
* one side is 1/3 the length of the other
Solution:
2a + 2b = 64, so a + b = 32
b = 3a
a + 3a = 32 → 4a = 32 → a = 8 cm, b = 24 cm

Answer: 8 cm and 24 cm",,
A rhombus has a side length of 60 cm. A parallelogram with the same perimeter has sides that differ by 20 cm. Determine the dimensions of the parallelogram,50 cm and 70 cm,"Given: 
* rhombus side = 60 cm
* parallelogram has the same perimeter
* difference between sides = 20 cm
Solution:
* Rhombus perimeter = 4 x 60 = 240 cm
* For the parallelogram: a + b = 120, b - a = 20
* b = a + 20 → a + (a + 20) = 120 → 2a = 100 → a = 50 cm, b = 70 cm
Answer: 50 cm and 70 cm",,
One side of a parallelogram is 7 cm shorter than the other. What are the lengths of the sides if the perimeter is 50 cm?,9 cm and 16 cm,"Given: 
* perimeter = 50 cm
* difference between sides = 7 cm
Solution:
a + b = 25, b - a = 7
b = a + 7 → a + (a + 7) = 25 → 2a = 18 → a = 9 cm, b = 16 cm

Answer: 9 cm and 16 cm",,
An obtuse angle in a rhombus is twice the measure of the acute angle. Provide the measures of all angles of this rhombus,"60°, 120°, 60°, 120°","Given: 
* In a rhombus, the obtuse angle is 2 times the acute angle
Solution:
α + β = 180° (supplementary angles)
β = 2α
α + 2α = 180° → 3α = 180° → α = 60°, β = 120°

Answer: 60°, 120°, 60°, 120° ",,
"Calculate the perimeter of an isosceles trapezoid where the shorter base and the leg are each 6 cm long, and the longer base is twice as long as the shorter base",30 cm,"Given: 
* isosceles trapezoid: shorter base = leg = 6 cm, longer base = 2 x 6 = 12 cm
Solution:
Perimeter = 6 + 6 + 12 + 6 = 30 cm

Answer: 30 cm",,
The perimeter of an isosceles trapezoid is 1 m. The sum of the lengths of its bases is 68 cm. What is the length of the leg of this trapezoid?,16 cm,"Given:
* perimeter = 100 cm
* sum of bases = 68 cm
Solution:
Perimeter = a + b + 2r = 100
a + b = 68
68 + 2r = 100 → 2r = 32 → r = 16 cm

Answer: 16 cm",,
The perimeter of a right trapezoid is 36 cm. The shorter leg and the shorter base are the same length and together they measure 12 cm. The longer base is 4 cm longer than the other leg. Calculate the length of the longer leg,10 cm,"Given:
* perimeter = 36 cm
* shorter leg + shorter base = 12 cm
* longer base is 4 cm longer than the other leg
Solution:
Let:
* a = shorter base
* r₁ = shorter leg (perpendicular)
* r₂ = longer leg
* b = longer base
a = r₁ and a + r₁ = 12 → 2a = 12 → a = r₁ = 6 cm
b = r₂ + 4

Perimeter: 6 + 6 + r₂ + (r₂ + 4) = 36 → 16 + 2r₂ = 36 → r₂ = 10 cm

Answer: 10 cm",,
The measure of the obtuse angle of an isosceles trapezoid is twice the measure of the acute angle. What are the measures of the angles of this trapezoid?,"60°, 120°, 120°, 60°","Given: In an isosceles trapezoid, the obtuse angle is 2 times the acute angle
Solution:

α + β = 180° (angles at the leg)
β = 2α
α + 2α = 180° → α = 60°, β = 120°
Answer: 60°, 120°, 120°, 60°",,
